名称,类型,经度,纬度,地址,省份,城市,区县
国家电网汽车充电站(安徽省合肥市巢湖市半汤疗养院停车场充电站),汽车服务;充电站;充电站,117.917798,31.648201,银泉路1号地面停车场,安徽省,合肥市,巢湖市
云快充汽车充电站(巢湖深业假日酒店),汽车服务;充电站;充电站,117.921874,31.6566,巢湖深业假日酒店,安徽省,合肥市,巢湖市
国家电网汽车充电站(安徽省合肥市巢湖市三瓜公社南瓜村停车场交流充电站),汽车服务;充电站;充电站,117.92028,31.662847,汤山路三瓜公社南瓜村,安徽省,合肥市,巢湖市
达克云汽车充电站(公牛夏阁镇快充站),汽车服务;充电站;充电站,117.83115,31.70589,夏阁镇巢柘路与夏朱路交口西南角,安徽省,合肥市,巢湖市
国家电网汽车充电站(安徽省合肥市巢湖市夏阁有序交流充电站),汽车服务;充电站;充电站,117.828177,31.711115,夏阁镇巢柘路夏阁供电所院外,安徽省,合肥市,巢湖市
云快充汽车充电站(巢湖市宜安云海),汽车服务;充电站;充电站,117.835466,31.650968,夏阁镇云华大道与朝阳山路交叉口,安徽省,合肥市,巢湖市
汽车充电站,汽车服务;充电站;充电站,117.842901,31.662673,平顶山路1号,安徽省,合肥市,巢湖市
国家电网汽车充电站(安徽省合肥市瑶海区少荃湖隧道东侧停车场交流充电站),汽车服务;充电站;充电站,117.382441,31.946865,文忠路合肥京东方医院东侧约230米,安徽省,合肥市,瑶海区
中国石化汽车充电站(东方大道充电站),汽车服务;充电站;充电站,117.332361,31.957166,治淮路以东东方大道以北,安徽省,合肥市,瑶海区
国家电网汽车充电站(安徽省合肥市瑶海区京东方医院北侧少荃湖停车场交流充电站),汽车服务;充电站;充电站,117.378099,31.947507,京东方医院北侧少荃湖公园停车场,安徽省,合肥市,瑶海区
小桔充电汽车充电站(综保税区超级),汽车服务;充电站;充电站,117.344439,31.953919,三十头街道大禹路综合保税区停车场,安徽省,合肥市,瑶海区
易佳电汽车充电站(易佳电蓝鲤综保区充电站),汽车服务;充电站;充电站,117.34582,31.95365,东方大道与大禹路交口保税区地面停车场,安徽省,合肥市,瑶海区
星星充电汽车充电站(佰川机械),汽车服务;充电站;充电站,117.354682,31.982738,三十头街道佰川餐厅,安徽省,合肥市,瑶海区
车电网汽车充电站(合肥京东方医院),汽车服务;充电站;充电站,117.37849,31.94586,东方大道和文忠路交叉口,安徽省,合肥市,瑶海区
晨立汽车充电站,汽车服务;充电站;充电站,117.41041,31.987878,大众路88号,安徽省,合肥市,肥东县
云快充汽车充电站(佳海工业城),汽车服务;充电站;充电站,117.344443,31.978857,新蚌埠路3768号佳海工业城一期C61-102/202/302/402,安徽省,合肥市,瑶海区
国家电网汽车充电站(安徽省合肥市肥东县众兴有序交流充电站),汽车服务;充电站;充电站,117.409129,31.985785,众兴乡花灯村新街供电所外,安徽省,合肥市,肥东县
广州蔚星汽车充电站(安居园),汽车服务;充电站;充电站,117.335556,31.988573,三十头街道安居园,安徽省,合肥市,瑶海区
广州蔚星汽车充电站(东元小区三期),汽车服务;充电站;充电站,117.33378,31.97695,三十头街道东元小区三期,安徽省,合肥市,瑶海区
特来电汽车充电站(毅威出行芯视界充电站),汽车服务;充电站;充电站,117.368029,31.950752,三十头街道东方大道288号,安徽省,合肥市,瑶海区
众兴服务区合肥充电汽车充电站,汽车服务;充电站;充电站,117.418104,31.972918,北环高速众兴服务区北区停车场,安徽省,合肥市,肥东县
众兴服务区国家电网电动汽车充电站,汽车服务;充电站;充电站,117.419877,31.976074,G40沪陕高速附近,安徽省,合肥市,肥东县
中国石化汽车充电站(众兴北充电站),汽车服务;充电站;充电站,117.41873,31.97525,众兴乡G40沪陕高速众兴服务区(沪陕高速西安方向),安徽省,合肥市,肥东县
众兴服务区合肥充电电动汽车充电站,汽车服务;充电站;充电站,117.418107,31.972901,北环高速众兴服务区北区停车场,安徽省,合肥市,肥东县
蔚来能源目的地充电站(内部使用合肥继峰座椅),汽车服务;充电站;充电站,117.46703,31.94955,合肥继烨汽车部件有限公司,安徽省,合肥市,肥东县
云快充汽车充电站(皋源泛能许井社区居委会交流),汽车服务;充电站;充电站,117.461767,32.001224,许井社区卫生室,安徽省,合肥市,肥东县
星星充电汽车充电站(肥东县铁头集中式快速),汽车服务;充电站;充电站,117.441534,32.096819,白龙镇合肥市农翔粮食贸易有限公司,安徽省,合肥市,肥东县
云快充汽车充电站(云快充汽车充电站长王新农村站),汽车服务;充电站;充电站,117.440674,32.100723,白龙镇长王社区居民委员会北,安徽省,合肥市,肥东县
云快充汽车充电站(安徽奥丰充电站),汽车服务;充电站;充电站,117.42977,32.081055,白龙镇同心社区合白路南150米,安徽省,合肥市,肥东县
汽车充电站(元疃镇阳光花园站),汽车服务;充电站;充电站,117.380631,32.065352,元疃镇阳光花园小区,安徽省,合肥市,肥东县
云快充汽车充电站(公牛官亭丰庆汽修充电站),汽车服务;充电站;充电站,116.744822,31.779984,官亭镇金桥社区长江西路辅路与113乡道交叉口西500米,安徽省,合肥市,肥西县
世动云充汽车充电站(世动云充合肥市肥西县官亭镇充电站),汽车服务;充电站;充电站,116.744858,31.779413,官亭镇长江西路辅路,安徽省,合肥市,肥西县
广州蔚星汽车充电站(世动云充合肥市肥西县官亭镇充电站),汽车服务;充电站;充电站,116.74486,31.779413,官亭镇长江西路辅路,安徽省,合肥市,肥西县
云快充汽车充电站(肥西县八一科技学校),汽车服务;充电站;充电站,116.756052,31.781423,八一科技学校,安徽省,合肥市,肥西县
云快充汽车充电站(肥西金桥小学),汽车服务;充电站;充电站,116.756854,31.780082,金桥小学,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇楼郢村村委会慢充),汽车服务;充电站;充电站,116.71369,31.803267,官亭镇楼郢村村委会,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇金星村村委会慢充),汽车服务;充电站;充电站,116.72305,31.7962,中共金星村支部委员会官亭镇113乡道金星村村委会,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇缪大庄村村委会慢充),汽车服务;充电站;充电站,116.74812,31.82064,官亭镇缪大庄村村委会官亭镇缪大庄村,安徽省,合肥市,肥西县
能效邻里共享汽车充电站(能效充电桩周大郢刘杰家),汽车服务;充电站;充电站,116.75387,31.831072,周大郢,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇朱桥村村委会慢充),汽车服务;充电站;充电站,116.76136,31.816496,朱桥村村委会官亭镇朱桥村,安徽省,合肥市,肥西县
汽车充电站(立炜电力江夏店社区站),汽车服务;充电站;充电站,116.800462,31.819252,042县道,安徽省,合肥市,肥西县
云快充汽车充电站(金桥王祠充电站),汽车服务;充电站;充电站,116.768795,31.781185,官亭镇金桥乡王祠村十二队长江西路辅路旁,安徽省,合肥市,肥西县
官亭收费站汽车充电站,汽车服务;充电站;充电站,116.791667,31.779841,长江西路,安徽省,合肥市,肥西县
云快充汽车充电站(肥西江夏小学),汽车服务;充电站;充电站,116.803932,31.833776,江夏小学,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县铭传乡墩塘村退役军人服务慢充),汽车服务;充电站;充电站,116.79095,31.76018,铭传乡墩塘村退役军人服务站铭传乡墩塘村小学村民组,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇半店社区村委会慢充),汽车服务;充电站;充电站,116.806915,31.780994,半店社区村民委员会半王路与长江西路辅路交叉口北80米,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇夏祠村村委会慢充),汽车服务;充电站;充电站,116.84667,31.813473,夏祠村村委会人社社保服务窗口(夏祠村为民服务中心)西侧,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇姚岗村委会慢充),汽车服务;充电站;充电站,116.79948,31.805098,官亭镇姚岗村党群服务中心,安徽省,合肥市,肥西县
广州蔚星汽车充电站(高店镇充电站),汽车服务;充电站;充电站,116.83602,31.90472,高店镇长高路,安徽省,合肥市,肥西县
汽车充电站(立炜快充高店镇充电站),汽车服务;充电站;充电站,116.835495,31.904457,长高路050县,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县高店镇高店社区居委会慢充),汽车服务;充电站;充电站,116.836136,31.9036,高店社区居委会236省道与长高路交叉口东南120米,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县高店镇仪城村村委会慢充),汽车服务;充电站;充电站,116.79919,31.898302,高店镇仪城村村委会法治文化长廊,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县高店镇邵庙村村民委员会慢充),汽车服务;充电站;充电站,116.84332,31.883123,邵庙村村民委员会高店镇邵庙村村部,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇王集新村慢充),汽车服务;充电站;充电站,116.78099,31.863682,官亭镇王集新村,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇马店社区居委会慢充),汽车服务;充电站;充电站,116.77823,31.866806,官亭镇马店社区党群服务中心人社社保服务窗口(马店社区为民服务大厅)西侧,安徽省,合肥市,肥西县
能效邻里共享汽车充电站(面访),汽车服务;充电站;充电站,116.82074,31.86581,官亭镇八十墩村面坊村民组,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇黄店村村委会慢充),汽车服务;充电站;充电站,116.79118,31.846502,黄店村村委会官亭镇黄店村,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇八十墩村村委会慢充),汽车服务;充电站;充电站,116.826904,31.856916,官亭镇八十墩村村民委员会147乡道东40米,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇余店村村委会慢充),汽车服务;充电站;充电站,116.784676,31.899956,官亭镇余店村村民委员会官亭镇余店村,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇金郢社区居民委员会慢充),汽车服务;充电站;充电站,116.73627,31.875723,官亭镇金郢社区居民委员会沪陕高速,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇郭桥村村委会慢充),汽车服务;充电站;充电站,116.75065,31.85074,官亭镇郭桥村村民委员会官亭镇郭桥村,安徽省,合肥市,肥西县
蔚享天成汽车充电站(官厅镇林海和园小区10栋地库),汽车服务;充电站;充电站,116.88409,31.806923,官亭镇沪霍线辅路厅镇林海和园小区10栋地库,安徽省,合肥市,肥西县
国家电网汽车充电站(安徽省合肥市肥西县官亭有序交流充电站),汽车服务;充电站;充电站,116.872959,31.793849,官亭镇官山路供电所院内,安徽省,合肥市,肥西县
汽车充电站(小朗充电-林海锦苑),汽车服务;充电站;充电站,116.87473,31.796919,官亭镇林海苑小区地下车库10栋负一层北侧,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇官亭中学慢充),汽车服务;充电站;充电站,116.85919,31.79358,官亭初级中学官亭中学,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县官亭镇河北村村委会慢充),汽车服务;充电站;充电站,116.855194,31.826698,河北村村民委员会,安徽省,合肥市,肥西县
中国石化汽车充电站(运河新城充电站),汽车服务;充电站;充电站,117.008534,31.829872,中国石化运河新城加油站,安徽省,合肥市,蜀山区
国家电网汽车充电站(安徽省合肥市肥西县紫蓬镇梁岗社区停车场充电站),汽车服务;充电站;充电站,116.9961,31.748249,环山路梁岗社区公共停车场,安徽省,合肥市,肥西县
汽车充电站(启源充换电站合肥新桥大道2号站),汽车服务;充电站;充电站,116.99953,31.842291,小庙镇新桥大道辅路小庙公交枢纽站旁,安徽省,合肥市,蜀山区
汽车充电站(枣林小区C区),汽车服务;充电站;充电站,116.985999,31.836722,小庙镇枣林小区(东南门),安徽省,合肥市,蜀山区
汽车充电站(启源充换电站合肥新桥大道1号站),汽车服务;充电站;充电站,116.99953,31.842291,小庙镇新桥大道辅路小庙公交枢纽站旁,安徽省,合肥市,蜀山区
汽车充电站(枣林小区B区),汽车服务;充电站;充电站,116.985714,31.839212,小庙镇枣林小区58幢,安徽省,合肥市,蜀山区
汽车充电站(枣林小区A区),汽车服务;充电站;充电站,116.985999,31.836722,小庙镇枣林小区(东南门),安徽省,合肥市,蜀山区
皖小能汽车充电站(肥西县紫蓬镇新农村村委会慢充),汽车服务;充电站;充电站,116.9601,31.746742,紫蓬山镇新农村村委会环山路南50米新农小学附近,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县紫蓬镇梁岗社区村委会慢充),汽车服务;充电站;充电站,116.9994,31.751942,紫蓬山旅游开发区梁岗社区村民委员会森林大道3号,安徽省,合肥市,肥西县
云快充汽车充电站(荣顺便民),汽车服务;充电站;充电站,116.939395,31.936782,高刘锦尚公馆东南(X041东)蜀山区海棠路B64号,安徽省,合肥市,蜀山区
云快充汽车充电站(车闪电今夜烧烤),汽车服务;充电站;充电站,116.936466,31.937861,高刘街道高洪街46号,安徽省,合肥市,蜀山区
微来充合肥惠尔乐酒店充电桩,汽车服务;充电站;充电站,116.93284,31.933587,高洪街与羽绒街交叉口东20米,安徽省,合肥市,蜀山区
汽车充电站(桃梨天下农果城),汽车服务;充电站;充电站,116.965534,31.921251,"高新技术产业开发区,新桥大道777号桃梨天下农果城地面停车位",安徽省,合肥市,蜀山区
汽车充电站(合肥市经开区莲荷路62号振荣锦尚公馆小区小飞象站),汽车服务;充电站;充电站,116.9382,31.937226,莲荷路62号振荣锦尚公馆小区,安徽省,合肥市,蜀山区
国家电网汽车充电站(沪陕高速新桥服务区充电站西安方向),汽车服务;充电站;充电站,116.894888,31.920676,沪陕高速新桥服务区西安方向,安徽省,合肥市,蜀山区
理想汽车充电站(理想5C超充站沪陕高速新桥服务区上海方向),汽车服务;充电站;充电站,116.89353,31.918764,新桥服务区,安徽省,合肥市,蜀山区
理想汽车充电站(理想5C超充站沪陕高速新桥服务区西安方向),汽车服务;充电站;充电站,116.89518,31.920582,新桥服务区,安徽省,合肥市,蜀山区
国家电网汽车充电站(沪蓉高速新桥服务区充电站成都方向2),汽车服务;充电站;充电站,116.894983,31.920661,合六叶高速新桥服务区,安徽省,合肥市,蜀山区
国家电网汽车充电站(沪蓉高速新桥服务区充电站上海方向),汽车服务;充电站;充电站,116.893372,31.918304,沪蓉高速新桥服务区上海方向,安徽省,合肥市,蜀山区
蔚来能源汽车充电站(上海方向G40沪陕高速新桥服务区),汽车服务;充电站;充电站,116.892863,31.918457,新桥服务区(G40南),安徽省,合肥市,蜀山区
国家电网汽车充电站(沪陕高速新桥服务区充电站上海方向2),汽车服务;充电站;充电站,116.893255,31.918457,沪陕高速新桥服务区充电站(上海方向),安徽省,合肥市,蜀山区
蔚来能源汽车充电站(西安方向G40沪陕高速新桥服务区),汽车服务;充电站;充电站,116.8942,31.920427,新桥服务区北侧,安徽省,合肥市,蜀山区
云快充汽车充电站(能量驰官高路加油加气充电站),汽车服务;充电站;充电站,116.892253,31.843292,高店镇长镇街道官高路与白马墩路交口东南角,安徽省,合肥市,肥西县
蔚来能源汽车充电站(上海方向G40沪陕高速新桥服务区),汽车服务;充电站;充电站,116.892891,31.918449,新桥服务区西侧,安徽省,合肥市,蜀山区
易佳电汽车充电站(易佳电沪蓉高速新桥服务区充电站成都方向),汽车服务;充电站;充电站,116.89484,31.920694,沪蓉高速新桥服务区(成都方向),安徽省,合肥市,蜀山区
易佳电汽车充电站(易佳电沪蓉高速新桥服务区充电站上海方向),汽车服务;充电站;充电站,116.89335,31.918377,沪蓉高速新桥服务区充电站(上海方向),安徽省,合肥市,蜀山区
皖小能汽车充电站(肥西县高店镇长镇回族社区居委会慢充),汽车服务;充电站;充电站,116.893745,31.851854,长镇回族社区居委会高长路高店乡长镇回族社区居民委员会,安徽省,合肥市,肥西县
合肥新桥国际机场P2停车场充电站,汽车服务;充电站;充电站,116.97501,31.985213,充电合肥新桥机场出租车蓄车区汽车充电站东侧130米,安徽省,合肥市,蜀山区
特来电汽车充电站(合肥新桥机场集团办公楼停车场充电站),汽车服务;充电站;充电站,116.981241,31.971595,高刘街道合肥新桥国际机场改扩建工程建设指挥部,安徽省,合肥市,蜀山区
合肥充电新桥机场社会停车场汽车充电站,汽车服务;充电站;充电站,116.973182,31.985495,合肥新桥国际机场社会停车场内,安徽省,合肥市,蜀山区
蔚来能源目的地充电站(内部使用合肥东航新桥机场南区),汽车服务;充电站;充电站,116.97898,31.969896,紫荆花路与台兰路交叉口东南180米东航南区,安徽省,合肥市,蜀山区
汽车充电站(合肥充电新桥机场出租车蓄车区充电站),汽车服务;充电站;充电站,116.97321,31.985122,新桥国际机场出租车蓄车区停车场内,安徽省,合肥市,蜀山区
蔚来能源目的地充电站(内部使用合肥东航新桥机场北区),汽车服务;充电站;充电站,116.967445,31.998148,091乡道附近东航北区,安徽省,合肥市,蜀山区
蔚来能源目的地充电站(合肥新桥国际机场全季酒店),汽车服务;充电站;充电站,116.98799,32.00007,空港示范区龙嘉路与白云路交口,安徽省,合肥市,蜀山区
蔚来能源目的地充电站(内部使用合肥延锋国际),汽车服务;充电站;充电站,116.98522,31.999289,空港示范区龙嘉路与白云路交口,安徽省,合肥市,蜀山区
汽车充电站,汽车服务;充电站;充电站,116.939698,31.942439,河滨路11号,安徽省,合肥市,蜀山区
皖小能汽车充电站(吴山镇薛店村),汽车服务;充电站;充电站,117.004005,32.133614,吴山镇薛店村民委员会吴山镇薛店村,安徽省,合肥市,长丰县
汽车充电站,汽车服务;充电站;充电站,117.083294,31.828466,城西桥家园B组团地下车库6栋附近来点电充电站,安徽省,合肥市,蜀山区
汽车充电站(紫蓬家园幼儿园),汽车服务;充电站;充电站,117.084943,31.756823,将军领路紫蓬家园幼儿园旁边地面停车位,安徽省,合肥市,肥西县
汽车充电站(小朗充电-烧脉村集体租赁住房),汽车服务;充电站;充电站,117.075277,31.766005,紫蓬镇小树林土菜馆烧脉村集体租赁住房3栋东侧停车位,安徽省,合肥市,肥西县
云快充汽车充电站(农兴中学),汽车服务;充电站;充电站,117.017484,31.751859,农兴中学,安徽省,合肥市,肥西县
汽车充电站(繁华紫园),汽车服务;充电站;充电站,117.027212,31.749482,"紫蓬镇肥西都市驿家商务宾馆繁华紫园主大门直走左转,地面停车位",安徽省,合肥市,肥西县
汽车充电站(紫蓬家园Z20栋),汽车服务;充电站;充电站,117.08102,31.755824,",合肥市,肥西县,紫蓬镇,将军领路紫蓬家园Z20栋旁边",安徽省,合肥市,肥西县
汽车充电站(紫蓬家园Z10栋),汽车服务;充电站;充电站,117.080842,31.756937,",合肥市,肥西县,紫蓬镇,将军领路紫蓬家园Z10栋旁边地面停车位",安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县紫蓬镇烧脉村村委会慢充),汽车服务;充电站;充电站,117.07437,31.76462,烧脉村村民委员会紫蓬农家大院北侧220米,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县紫蓬镇农兴社区慢充),汽车服务;充电站;充电站,117.023186,31.757013,紫蓬镇紫蓬路27号,安徽省,合肥市,肥西县
皖小能汽车充电站(肥西县紫蓬镇长刘社区慢充),汽车服务;充电站;充电站,117.04818,31.768784,紫蓬镇长刘社区居民委员会,安徽省,合肥市,肥西县
国家电网汽车充电站(安徽省合肥市蜀山区鸡鸣山路量子科仪谷西门停车场充电站),汽车服务;充电站;充电站,117.089229,31.844281,鸡鸣山路与皖水路交叉口南180米,安徽省,合肥市,蜀山区
中国石化汽车充电站(响洪甸路充电站),汽车服务;充电站;充电站,117.080872,31.867708,中国石化合肥响洪甸路加油站,安徽省,合肥市,蜀山区
国家电网汽车充电站(安徽派河小庙镇五十墩小区南区充电站),汽车服务;充电站;充电站,117.016654,31.853288,小庙镇小高路五十墩小区停车场,安徽省,合肥市,蜀山区
合肥市蜀山区小庙镇五十墩南区停车场充电站,汽车服务;充电站;充电站,117.016673,31.853411,小庙镇五十墩小区南区停车场,安徽省,合肥市,蜀山区
云快充汽车充电站(合肥市蜀山区岭楠徐府餐饮店),汽车服务;充电站;充电站,117.065468,31.894999,小庙镇马岗村候塘村民组168号,安徽省,合肥市,蜀山区
特来电充电站(固力发超充电站),汽车服务;充电站;充电站,117.18644,31.95624,岗集镇瑞丰路218号金地丽景对面,安徽省,合肥市,长丰县
皖能岗集金湖公园汽车充电站,汽车服务;充电站;充电站,117.19017,31.955783,金岗大道8号,安徽省,合肥市,长丰县
特斯拉超级充电站(合肥北城方圆荟),汽车服务;充电站;充电站,117.247469,32.00255,蒙城北路与双墩路交口合肥北城世纪金源购物中心地下停车场负一层D区/入口双墩路,安徽省,合肥市,长丰县
皖小能汽车充电站(双墩镇濛河路),汽车服务;充电站;充电站,117.24993,32.01047,濛河路,安徽省,合肥市,长丰县
皖小能汽车充电站(双墩镇北城运动公园),汽车服务;充电站;充电站,117.23802,32.016197,双墩镇蒙城北路辅路北城运动公园内(西侧),安徽省,合肥市,长丰县
小桔充电汽车充电站(合肥北城购物中心),汽车服务;充电站;充电站,117.246323,32.00423,世纪金源购物中心(北城店),安徽省,合肥市,长丰县
特来电汽车充电站(北城世纪金源),汽车服务;充电站;充电站,117.244658,32.003963,双墩路与兴旺路交叉口西南140米,安徽省,合肥市,长丰县
小桔充电汽车充电站(合肥北城世纪金源大饭店),汽车服务;充电站;充电站,117.247893,31.997154,北城世纪金源大饭店停车场,安徽省,合肥市,长丰县
皖小能汽车充电站(岗集镇综合文化),汽车服务;充电站;充电站,117.19726,31.942066,金岗大道绿城雅苑东215米,安徽省,合肥市,长丰县
开迈斯汽车充电站(合肥市北城世纪金源购物中心站),汽车服务;充电站;充电站,117.248231,32.003034,蒙城北路与双墩路交口北城世纪金源购物中心地下停车场B1层,安徽省,合肥市,长丰县
特来电汽车充电站(北城世纪金源充电站),汽车服务;充电站;充电站,117.247522,32.002837,北城世纪金源购物中心负二层车库停车位,安徽省,合肥市,长丰县
特来电汽车充电站(北城世纪金源二期充电站),汽车服务;充电站;充电站,117.24735,32.002656,北城世纪金源购物中心地下停车场D2-518,安徽省,合肥市,长丰县
皖能岗集综合文化站停车场汽车充电站,汽车服务;充电站;充电站,117.197725,31.942336,金岗大道1号,安徽省,合肥市,长丰县
皖小能汽车充电站(岗集镇前丰社区),汽车服务;充电站;充电站,117.199,31.945044,岗集镇前丰社区居民委员会岗集公租房,安徽省,合肥市,长丰县
云快充汽车充电站(安徽意华电器有限公司),汽车服务;充电站;充电站,117.189679,31.964583,岗集镇神龙路与JAC大道交口,安徽省,合肥市,长丰县
合肥充电北城凤梅家园西区充电站,汽车服务;充电站;充电站,117.245732,31.975775,润梅路3号,安徽省,合肥市,长丰县
皖小能汽车充电站(岗集镇三十埠社区),汽车服务;充电站;充电站,117.1768,31.982222,岗集镇三十埠社区长丰县岗集镇三十埠社区居民委员会,安徽省,合肥市,长丰县
皖小能汽车充电站(岗集镇新庄社区),汽车服务;充电站;充电站,117.21609,31.980288,岗集镇新庄社区居委会岗集镇新庄社居委监督委员会,安徽省,合肥市,长丰县
皖小能汽车充电站(岗集镇龙岗社区),汽车服务;充电站;充电站,117.2366,31.957384,岗集镇龙岗社区居委会,安徽省,合肥市,长丰县
广州蔚星汽车充电站(世动云充合肥市长丰县双墩镇充电站),汽车服务;充电站;充电站,117.25289,32.09701,双墩镇合水路,安徽省,合肥市,长丰县
皖小能汽车充电站(双墩镇华丰村),汽车服务;充电站;充电站,117.309395,32.0631,双墩镇华丰村役军军人服务站华丰村村民委员会,安徽省,合肥市,长丰县
皖小能汽车充电站(双墩镇海宝村),汽车服务;充电站;充电站,117.30994,32.119865,双墩镇海宝村委会,安徽省,合肥市,长丰县
皖小能汽车充电站(双墩镇金坝村),汽车服务;充电站;充电站,117.28635,32.11336,双墩镇金坝村党群服务中心长丰县双墩镇金坝村民委员会,安徽省,合肥市,长丰县
皖小能汽车充电站(双墩镇新集村),汽车服务;充电站;充电站,117.265915,32.131214,双墩镇新集村民委员会,安徽省,合肥市,长丰县
中国石化汽车充电站(蒙城北路充电站),汽车服务;充电站;充电站,117.233246,32.044754,中国石化蒙城北路加油站,安徽省,合肥市,长丰县
广州蔚星汽车充电站(长丰双墩锐鑫快充电站罗集国家电网红绿灯处正对面),汽车服务;充电站;充电站,117.249825,32.104862,双墩镇合水路(红绿灯国家电网)对面,安徽省,合肥市,长丰县
驴充充汽车充电站(长丰县罗集中心校),汽车服务;充电站;充电站,117.24825,32.10774,S102(合水路)长丰县罗集中心校,安徽省,合肥市,长丰县
皖小能汽车充电站(双墩镇富水村),汽车服务;充电站;充电站,117.23903,32.071983,双墩镇富水村民委员会双墩镇,安徽省,合肥市,长丰县
皖小能汽车充电站(双墩镇罗集村),汽车服务;充电站;充电站,117.24877,32.101585,罗集村,安徽省,合肥市,长丰县
皖小能汽车充电站(双墩镇兴岭村),汽车服务;充电站;充电站,117.22573,32.04725,双墩镇兴岭村委会,安徽省,合肥市,长丰县
皖小能汽车充电站(双墩镇马庙村),汽车服务;充电站;充电站,117.222404,32.124935,双墩镇马庙村委会马庙村委会,安徽省,合肥市,长丰县
皖小能汽车充电站(陶楼镇高塘社区),汽车服务;充电站;充电站,117.17838,32.08262,陶楼镇高塘社区居委会,安徽省,合肥市,长丰县
皖小能汽车充电站(陶楼镇陈祠村),汽车服务;充电站;充电站,117.19741,32.128525,陶楼镇中共陈祠村总支委员会陈祠村村委会,安徽省,合肥市,长丰县
长丰双墩锐鑫快充站,汽车服务;充电站;充电站,117.249498,32.105358,合水路西侧罗集社区,安徽省,合肥市,长丰县
皖小能汽车充电站(双墩镇富民村),汽车服务;充电站;充电站,117.18983,32.062355,双墩镇富民村支部委员会富民家园大门口处,安徽省,合肥市,长丰县
皖小能汽车充电站(双墩镇夏店村),汽车服务;充电站;充电站,117.201454,32.041687,双墩镇夏店村村民委员会双墩镇夏店村,安徽省,合肥市,长丰县
皖小能汽车充电站(双墩镇北苑村),汽车服务;充电站;充电站,117.19674,32.05655,双墩镇北苑村委会,安徽省,合肥市,长丰县
特来电汽车充电站(安徽港啤智能充电站),汽车服务;充电站;充电站,117.039622,31.961617,高刘街道虹桥路,安徽省,合肥市,蜀山区
合肥充电泰坦长岗公园充电站,汽车服务;充电站;充电站,117.035127,31.967726,高刘镇长岗社区金莲花路经开区公安局交通巡逻队对面,安徽省,合肥市,蜀山区
特来电充电站(合肥港啤啤酒店),汽车服务;充电站;充电站,117.045067,31.948734,刘小店百斯特家居院内,安徽省,合肥市,蜀山区
星星充电汽车充电站(合肥港啤啤酒网约车),汽车服务;充电站;充电站,117.04469,31.948301,合肥市经济技术开发区高刘社区南庄居委会北300米,安徽省,合肥市,蜀山区
汽车充电站(团肥路停车场充电站),汽车服务;充电站;充电站,117.031152,31.971233,团肥路与云湖路交口,安徽省,合肥市,蜀山区
蔚来能源目的地充电站(内部使用合肥168新桥学校初中部),汽车服务;充电站;充电站,117.03009,31.957022,高刘镇合肥市经济技术开发区,安徽省,合肥市,蜀山区
云快充汽车充电站(云水岗北),汽车服务;充电站;充电站,117.080327,31.978215,岗集镇谷大郢,安徽省,合肥市,长丰县
皖小能汽车充电站(吴山镇车左村),汽车服务;充电站;充电站,117.054115,32.019337,吴山镇车左村村务监督委员会长丰县吴山镇车左村民居委会,安徽省,合肥市,长丰县
星星充电汽车充电站(蔚尔加电辰阳府),汽车服务;充电站;充电站,117.148993,31.970938,岗集镇朝阳路与兴业大道交口东南约160米,安徽省,合肥市,长丰县
皖小能汽车充电站(岗集镇卧龙山社区),汽车服务;充电站;充电站,117.11846,31.993713,岗集镇卧龙山社区土山小学,安徽省,合肥市,长丰县
云快充汽车充电站(洁致温泉充电站),汽车服务;充电站;充电站,117.095446,32.026363,岗集镇斗镇村郑小洼组28号,安徽省,合肥市,长丰县
汽车充电站(小朗充电-合肥杏花物流园),汽车服务;充电站;充电站,117.146,31.9672,"杏花印务正门入口处,地下车库负一层,第二个门,右侧",安徽省,合肥市,长丰县
皖小能汽车充电站(岗集镇松棵村),汽车服务;充电站;充电站,117.09624,31.975418,岗集镇松棵村委会,安徽省,合肥市,长丰县
